wavelength_nm,n,k
3430.2000,1.681000,0.000046
3587.4000,1.677300,0.000054
3744.7000,1.673400,0.000062
3902.0000,1.669300,0.000070
4059.3000,1.665100,0.000080
4216.6000,1.660700,0.000091
4373.9000,1.656000,0.000103
4531.2000,1.651200,0.000115
4688.4000,1.646100,0.000129
4845.7000,1.640900,0.000145
5003.0000,1.635400,0.000161
5160.3000,1.629700,0.000180
5317.6000,1.623800,0.000200
5474.9000,1.617600,0.000221
5632.2000,1.611200,0.000245
5789.4000,1.604600,0.000270
5946.7000,1.597700,0.000298
6104.0000,1.590500,0.000328
6261.3000,1.583100,0.000361
6418.6000,1.575400,0.000396
6575.9000,1.567400,0.000434
6733.2000,1.559100,0.000476
6890.5000,1.550500,0.000521
7047.7000,1.541600,0.000571
7205.0000,1.532300,0.000624
7362.3000,1.522800,0.000682
7519.6000,1.512800,0.000745
7676.9000,1.502600,0.000813
7834.2000,1.491900,0.000888
7991.5000,1.480800,0.000969
8148.7000,1.469300,0.001058
8306.0000,1.457400,0.001154
8463.3000,1.445100,0.001260
8620.6000,1.432300,0.001375
8777.9000,1.419000,0.001502
8935.2000,1.405100,0.001640
9092.5000,1.390800,0.001793
9249.7000,1.375800,0.001960
9407.0000,1.360300,0.002145
9564.3000,1.344100,0.002350
9721.6000,1.327300,0.002576
9878.9000,1.309700,0.002828
10036.0000,1.291500,0.003107
10193.0000,1.272400,0.003420
10351.0000,1.252400,0.003769
10508.0000,1.231500,0.004162
10665.0000,1.209700,0.004605
10823.0000,1.186800,0.005106
10980.0000,1.162800,0.005676
11137.0000,1.137500,0.006327
11294.0000,1.110900,0.007074
11452.0000,1.082800,0.007936
11609.0000,1.053100,0.008938
11766.0000,1.021500,0.010111
11924.0000,0.988030,0.011494
12081.0000,0.952270,0.013140
12238.0000,0.913950,0.015120
12395.0000,0.872700,0.017531
12553.0000,0.828040,0.020512
12710.0000,0.779340,0.024264
12867.0000,0.725760,0.029097
13025.0000,0.666120,0.035521
13182.0000,0.598670,0.044434
13339.0000,0.520660,0.057644
13496.0000,0.427480,0.079499
13654.0000,0.312530,0.123560
13811.0000,0.193640,0.227360
13968.0000,0.138360,0.363850
14126.0000,0.120550,0.478530
14283.0000,0.115060,0.575040
14440.0000,0.115010,0.659360
14597.0000,0.117890,0.734760
14755.0000,0.122410,0.803000
14912.0000,0.127530,0.865100
15069.0000,0.132230,0.921830
15227.0000,0.135420,0.974030
15384.0000,0.136110,1.022800
15541.0000,0.133610,1.069600
15698.0000,0.127850,1.116000
15856.0000,0.119350,1.163500
16013.0000,0.109080,1.212900
16170.0000,0.098084,1.264600
16328.0000,0.087249,1.318600
16485.0000,0.077168,1.374500
16642.0000,0.068151,1.431800
16799.0000,0.060295,1.490300
16957.0000,0.053567,1.549700
17114.0000,0.047867,1.609700
17271.0000,0.043069,1.670300
17429.0000,0.039046,1.731400
17586.0000,0.035680,1.793100
17743.0000,0.032868,1.855400
17901.0000,0.030524,1.918300
18058.0000,0.028574,1.981900
