wavelength_nm,n,k
50.5022,0.749851,0.052068
50.6186,0.748017,0.052506
50.7353,0.746782,0.052905
50.8522,0.745490,0.053311
50.9694,0.743856,0.053744
51.0869,0.742786,0.054140
51.2047,0.741236,0.054573
51.3227,0.739937,0.054990
51.4411,0.738770,0.055400
51.5596,0.736908,0.055865
51.6785,0.735625,0.056290
51.7976,0.734421,0.056711
51.9170,0.732980,0.057153
52.0367,0.731456,0.057605
52.1567,0.730189,0.058040
52.2769,0.728755,0.058490
52.3974,0.727191,0.058954
52.5182,0.725578,0.059426
52.6393,0.724012,0.059896
52.7606,0.722823,0.060339
52.8822,0.721080,0.060831
53.0042,0.719462,0.061315
53.1263,0.718190,0.061774
53.2488,0.716780,0.062247
53.3716,0.715296,0.062729
53.4946,0.713410,0.063251
53.6179,0.711887,0.063744
53.7415,0.710314,0.064244
53.8654,0.708843,0.064739
53.9896,0.707350,0.065239
54.1140,0.705465,0.065778
54.2388,0.704076,0.066275
54.3638,0.702414,0.066801
54.4891,0.700871,0.067319
54.6147,0.699390,0.067834
54.7406,0.697742,0.068369
54.8668,0.695944,0.068923
54.9933,0.694291,0.069466
55.1201,0.692417,0.070034
55.2471,0.690847,0.070576
55.3745,0.689359,0.071113
55.5022,0.687579,0.071684
55.6301,0.685620,0.072277
55.7583,0.683740,0.072866
55.8869,0.682296,0.073413
56.0157,0.680544,0.073997
56.1448,0.678524,0.074613
56.2743,0.676887,0.075192
56.4040,0.675101,0.075791
56.5340,0.672961,0.076435
56.6643,0.671488,0.077007
56.7950,0.669613,0.077629
56.9259,0.667607,0.078270
57.0571,0.665843,0.078888
57.1887,0.664060,0.079512
57.3205,0.662178,0.080152
57.4526,0.660374,0.080788
57.5851,0.658077,0.081488
57.7178,0.656047,0.082161
57.8509,0.653853,0.082860
57.9842,0.652043,0.083515
58.1179,0.649989,0.084207
58.2519,0.648123,0.084879
58.3862,0.645862,0.085607
58.5207,0.644212,0.086260
58.6557,0.641985,0.086995
58.7909,0.639886,0.087719
58.9264,0.637837,0.088440
59.0622,0.635623,0.089190
59.1984,0.633326,0.089958
59.3349,0.631164,0.090713
59.4716,0.629282,0.091433
59.6087,0.626775,0.092249
59.7461,0.624615,0.093021
59.8839,0.622611,0.093776
60.0219,0.620053,0.094620
60.1603,0.618070,0.095383
60.2990,0.615697,0.096212
60.4380,0.613273,0.097056
60.5773,0.611035,0.097878
