wavelength_nm,n,k
2250.0000,3.320000,20.578000
2260.0000,3.349000,20.665000
2270.0000,3.378000,20.752000
2280.0000,3.406000,20.835000
2290.0000,3.431000,20.929000
2300.0000,3.461000,21.018000
2310.0000,3.491000,21.106000
2320.0000,3.521000,21.193000
2330.0000,3.551000,21.281000
2340.0000,3.581000,21.368000
2350.0000,3.611000,21.455000
2360.0000,3.641000,21.543000
2370.0000,3.671000,21.629000
2380.0000,3.702000,21.716000
2390.0000,3.732000,21.803000
2400.0000,3.762000,21.889000
2410.0000,3.793000,21.975000
2420.0000,3.824000,22.062000
2430.0000,3.854000,22.148000
2440.0000,3.885000,22.233000
2450.0000,3.916000,22.319000
2460.0000,3.947000,22.404000
2470.0000,3.978000,22.490000
2480.0000,4.009000,22.574000
2490.0000,4.040000,22.658000
2500.0000,4.063000,22.742000
2506.3000,4.084000,22.799000
2512.6000,4.105000,22.854000
2518.9000,4.125000,22.909000
2525.3000,4.145000,22.963000
2531.6000,4.165000,23.018000
2538.1000,4.186000,23.073000
2544.5000,4.207000,23.128000
2551.0000,4.227000,23.183000
2557.5000,4.248000,23.230000
2564.1000,4.269000,23.294000
2570.7000,4.290000,23.350000
2577.3000,4.312000,23.406000
2584.0000,4.333000,23.462000
2590.7000,4.355000,23.518000
2597.4000,4.376000,23.575000
2604.2000,4.398000,23.631000
2611.0000,4.420000,23.688000
2617.8000,4.442000,23.745000
2624.7000,4.464000,23.802000
2631.6000,4.486000,23.859000
2638.5000,4.508000,23.916000
2645.5000,4.530000,23.971000
2652.5000,4.545000,24.032000
2659.6000,4.569000,24.093000
2666.7000,4.593000,24.153000
2673.8000,4.616000,24.213000
2681.0000,4.640000,24.272000
2688.2000,4.663000,24.331000
2695.4000,4.686000,24.388000
2702.7000,4.702000,24.451000
2710.0000,4.728000,24.514000
2717.4000,4.752000,24.575000
2724.8000,4.776000,24.634000
2732.2000,4.793000,24.699000
2739.7000,4.819000,24.763000
2747.3000,4.844000,24.826000
2754.8000,4.869000,24.886000
2762.4000,4.887000,24.933000
2770.1000,4.914000,25.019000
2777.8000,4.940000,25.083000
2785.5000,4.965000,25.144000
2793.3000,4.984000,25.212000
2801.1000,5.011000,25.280000
2809.0000,5.038000,25.343000
2816.9000,5.057000,25.413000
2824.9000,5.086000,25.483000
2832.9000,5.114000,25.550000
2840.9000,5.141000,25.614000
2849.0000,5.161000,25.686000
2857.1000,5.191000,25.757000
2865.3000,5.220000,25.826000
2873.6000,5.248000,25.892000
2881.8000,5.269000,25.965000
2890.2000,5.300000,26.039000
2898.6000,5.330000,26.110000
2907.0000,5.360000,26.181000
2915.5000,5.390000,26.251000
2924.0000,5.420000,26.320000
2932.6000,5.442000,26.395000
2941.2000,5.475000,26.471000
2949.9000,5.539000,26.619000
