wavelength_nm,n,k
485.0000,2.209805,0.000000
486.0000,2.208900,0.000000
487.0000,2.208002,0.000000
488.0000,2.207113,0.000000
489.0000,2.206232,0.000000
490.0000,2.205359,0.000000
491.0000,2.204494,0.000000
492.0000,2.203636,0.000000
493.0000,2.202787,0.000000
494.0000,2.201944,0.000000
495.0000,2.201109,0.000000
496.0000,2.200282,0.000000
497.0000,2.199461,0.000000
498.0000,2.198648,0.000000
499.0000,2.197842,0.000000
500.0000,2.197043,0.000000
501.0000,2.196251,0.000000
502.0000,2.195466,0.000000
503.0000,2.194687,0.000000
504.0000,2.193915,0.000000
505.0000,2.193149,0.000000
506.0000,2.192390,0.000000
507.0000,2.191637,0.000000
508.0000,2.190891,0.000000
509.0000,2.190151,0.000000
510.0000,2.189417,0.000000
511.0000,2.188689,0.000000
512.0000,2.187967,0.000000
513.0000,2.187251,0.000000
514.0000,2.186540,0.000000
515.0000,2.185836,0.000000
516.0000,2.185137,0.000000
517.0000,2.184444,0.000000
518.0000,2.183757,0.000000
519.0000,2.183075,0.000000
520.0000,2.182399,0.000000
521.0000,2.181727,0.000000
522.0000,2.181062,0.000000
523.0000,2.180401,0.000000
524.0000,2.179746,0.000000
525.0000,2.179096,0.000000
526.0000,2.178451,0.000000
527.0000,2.177811,0.000000
528.0000,2.177176,0.000000
529.0000,2.176546,0.000000
530.0000,2.175920,0.000000
531.0000,2.175300,0.000000
532.0000,2.174684,0.000000
533.0000,2.174073,0.000000
534.0000,2.173467,0.000000
535.0000,2.172865,0.000000
536.0000,2.172268,0.000000
537.0000,2.171675,0.000000
538.0000,2.171087,0.000000
539.0000,2.170503,0.000000
540.0000,2.169924,0.000000
541.0000,2.169348,0.000000
542.0000,2.168777,0.000000
543.0000,2.168211,0.000000
544.0000,2.167648,0.000000
545.0000,2.167090,0.000000
546.0000,2.166535,0.000000
547.0000,2.165985,0.000000
548.0000,2.165439,0.000000
549.0000,2.164896,0.000000
550.0000,2.164358,0.000000
551.0000,2.163823,0.000000
552.0000,2.163293,0.000000
553.0000,2.162766,0.000000
554.0000,2.162242,0.000000
555.0000,2.161723,0.000000
556.0000,2.161207,0.000000
557.0000,2.160695,0.000000
558.0000,2.160187,0.000000
559.0000,2.159682,0.000000
560.0000,2.159180,0.000000
561.0000,2.158682,0.000000
562.0000,2.158188,0.000000
563.0000,2.157697,0.000000
